id,age,location,skin_type,channels_engaged,purchase_history
00028e93-8846-4b4a-a921-8bfbe458fe51,31,Matthewshire,Sensitive,"{Email,Facebook,Google Ads SEO}","{Loan Product,Wireless Earbuds,Face Cleanser}"
000c9e3b-b806-44ef-bb54-9320c60fdb3e,56,Floresburgh,Dry,"{Google Ads SEO,Email}","{Smartphone,Credit Card}"
0013d748-1efe-4216-89bd-3db4199ca781,28,Janetmouth,Combination,"{Email,Google Ads SEO,Facebook}",{Tablet}
001df21d-c248-4484-8664-e9a38d7b5113,52,East Andreabury,Normal,"{Email,Facebook}","{Sunscreen,Face Cleanser,Bluetooth Speaker}"
002d2800-d878-492a-ac0d-e20bb0bab149,57,Port Matthewstad,Oily,{Google Ads SEO},"{Wireless Earbuds,Smartwatch}"
0032b39f-801a-481c-ada7-3d6d429a0b79,18,Kevinville,Combination,"{Facebook,Google Ads SEO,Email}","{Investment Platform,Marketing Automation,Credit Card}"
003524b7-66d0-4435-8ed9-93b286ce599d,36,Lake Frank,Sensitive,"{Google Ads SEO,Email,Facebook}",{Lip Balm}
004042a4-1e90-465c-9be7-e53cc65578ac,19,Whitestad,Combination,{Facebook},"{Bluetooth Speaker,Savings Account,Lip Balm}"
00464e29-214a-4dac-abf1-a576e5353de9,36,Dayburgh,Dry,"{Email,Google Ads SEO}","{Credit Card,Bluetooth Speaker,Loan Product}"
0046e1a2-edb6-483e-aa1e-214cca175f04,32,New Sandra,Combination,"{Google Ads SEO,Facebook}","{Investment Platform,Bluetooth Speaker}"
00480726-a10f-4e7c-8160-b9fa5613de0c,60,East Charles,Sensitive,"{Google Ads SEO,Facebook,Email}","{Face Cleanser,Insurance Plan}"
0052e5b5-e810-4d52-b528-7916a9b71cd7,60,Schmidtfurt,Sensitive,{Facebook},"{Hair Serum,Smartphone}"
00559087-0104-48cb-a7a8-5ae1141ab889,20,Timothyfurt,Oily,"{Google Ads SEO,Email,Facebook}","{Insurance Plan,Smartphone,Tablet}"
005f9a6c-79bd-48de-b5ac-bcf0a6d79e91,38,South Lisashire,Dry,"{Email,Facebook}","{Smartwatch,Savings Account,Analytics Dashboard}"
00609ed3-5d1b-4955-8af7-6b174f6b1d8e,48,North Williamville,Sensitive,"{Email,Google Ads SEO,Facebook}","{Smartphone,Marketing Automation}"
006c1f12-0079-4ce3-87dd-650cb3a46161,36,North Jessica,Normal,{Email},"{CRM Software,Credit Card}"
00709e2b-1e9d-4a63-b3dd-06ff510579b6,18,New Robertfurt,Normal,"{Email,Google Ads SEO}","{Insurance Plan,Bluetooth Speaker}"
00763cf1-5586-4e57-b889-59802d332f10,44,Markfort,Dry,"{Email,Facebook,Google Ads SEO}",{Smartwatch}
00769fbd-b3a5-4ce9-a1ce-066c2b1d43d9,22,Webbton,Normal,"{Email,Facebook}","{CRM Software,Tablet}"
007c7ef8-30e8-41b9-a689-e0c52be4845e,49,West John,Dry,"{Email,Facebook}",{Hair Serum}
00803dbe-f2f4-4a60-a53a-3e6b1f1d6d5f,31,Peterfort,Oily,{Facebook},{Hair Serum}
00823ee1-e806-485d-9b21-e3be3d6517f9,20,Port Markton,Oily,"{Email,Google Ads SEO,Facebook}",{Investment Platform}
008b40ae-77fc-4be1-9839-a5aeaf782e3f,29,Bradleystad,Oily,"{Email,Facebook}","{Moisturizer,Investment Platform}"
008b9b37-0c0f-42fc-bcec-3cb4610f00b2,59,South Alexanderborough,Normal,{Facebook},"{Lip Balm,Face Cleanser,Hair Serum}"
008d64e8-422b-4234-b551-5f2d6dbc70db,52,Jillton,Normal,"{Email,Facebook,Google Ads SEO}","{Marketing Automation,Loan Product,Savings Account}"
0093d8de-e970-4eff-9c42-bb0182ff5349,23,South Steventon,Dry,"{Email,Google Ads SEO,Facebook}",{Hair Serum}
009c96da-4f09-4138-8263-b633a547ef36,57,North Laura,Normal,{Email},{Moisturizer}
009ef1a4-1923-4285-9529-477560bc3dcb,54,North Adamborough,Normal,"{Google Ads SEO,Facebook,Email}","{Credit Card,Sunscreen,Moisturizer}"
00a1e826-8646-4729-b888-d09de254fe3b,39,West Erin,Combination,"{Google Ads SEO,Facebook}",{Customer Support Platform}
00ab4f53-7ef0-4eab-aabb-4d28d0982f35,22,Port Patrick,Normal,{Google Ads SEO},"{CRM Software,Smartwatch}"
00b81abd-8d4d-48b4-afa1-663f3d9ca8d2,48,Joshuaberg,Sensitive,{Email},"{Credit Card,Smartwatch,Customer Support Platform}"
00ba5d1e-c789-4325-9e1d-b7ba68035350,53,Josephborough,Combination,"{Google Ads SEO,Email,Facebook}","{Tablet,CRM Software,Wireless Earbuds}"
00becf67-2f93-45d4-b969-be9addfd14e9,41,West Patrickmouth,Combination,{Google Ads SEO},"{Smartwatch,Analytics Dashboard}"
00ce3f9e-df83-47ae-a103-92c28977bbeb,57,West Michaelport,Dry,{Email},{Hair Serum}
00d3c15c-f985-4110-8bbf-22eb29cd045f,26,Port Courtneymouth,Dry,"{Email,Google Ads SEO}",{Bluetooth Speaker}
00db2759-3c22-4da5-9b36-0e7d152b1969,44,South Amy,Normal,{Google Ads SEO},"{Analytics Dashboard,Investment Platform}"
00e47868-981e-48e9-ac43-ac8886a3aabf,58,South Caleb,Dry,{Google Ads SEO},"{Investment Platform,Hair Serum,Smartwatch}"
00eb2821-69ba-4283-8b11-ea2cb481835f,41,Holmestown,Combination,"{Facebook,Email,Google Ads SEO}","{Customer Support Platform,Savings Account,Smartphone}"
00ee01ba-733f-42f9-9a0d-2fcd6b912093,28,West Lisatown,Combination,{Google Ads SEO},{Investment Platform}
00ee91a3-5d59-4da5-a56e-a8e51d45ab9e,42,New Emily,Oily,{Facebook},"{Insurance Plan,Sunscreen,Tablet}"
00fe305c-e598-4ebe-a253-9e600d486913,50,East Leslie,Normal,"{Email,Facebook,Google Ads SEO}","{Smartphone,Analytics Dashboard,Bluetooth Speaker}"
0105431a-b636-42b7-adb1-1dd068b6f7d9,39,West Gregory,Dry,"{Google Ads SEO,Email}","{Project Management Tool,Smartphone}"
0111bb4c-a6e4-43ee-91c3-ed6155e085f7,48,North Perrychester,Oily,{Email},"{Insurance Plan,Moisturizer,Hair Serum}"
012b5507-255c-4b12-96fa-6bfab94ee087,30,Stephanieberg,Oily,"{Google Ads SEO,Email,Facebook}","{Analytics Dashboard,Savings Account}"
0137dee8-c306-4088-b868-d18f9e8c57bc,29,New Michelle,Normal,"{Google Ads SEO,Email,Facebook}",{Analytics Dashboard}
01405c08-5f1d-4d4e-8ba1-ef4068f16814,49,West Stephanie,Oily,"{Google Ads SEO,Email,Facebook}",{Credit Card}
0147ee05-f40d-40ed-9b7a-9cbb70d3e53b,33,Edwardtown,Sensitive,{Google Ads SEO},"{Project Management Tool,Sunscreen,Tablet}"
016890da-c99f-4e2a-b33e-36ff6b43c05e,19,Mooreside,Combination,{Facebook},"{Investment Platform,Marketing Automation}"
0181e192-4a65-44b8-b689-13b7c6ac6f7d,28,Port Christophermouth,Combination,{Facebook},"{Lip Balm,Customer Support Platform,Smartphone}"
0184ecf5-2924-4adf-af48-a23d67e69140,44,Port Michaelmouth,Combination,{Facebook},"{Analytics Dashboard,Credit Card,Smartwatch}"
0188847e-c5f0-4435-9442-782641d169e8,22,Melindachester,Normal,"{Email,Facebook,Google Ads SEO}","{Hair Serum,Investment Platform}"
018d2824-527b-429d-92fb-62f0c4ee8633,21,Lauramouth,Sensitive,{Facebook},{Moisturizer}
019196e4-1b68-46d7-8680-b7e065014cb8,46,Michaelton,Combination,"{Google Ads SEO,Email,Facebook}","{Investment Platform,Bluetooth Speaker}"
01920f60-efa1-4bac-9706-634cde53da4d,19,Port Amanda,Dry,"{Facebook,Google Ads SEO}","{Lip Balm,Savings Account,Wireless Earbuds}"
0192a7a4-715e-4cf1-9971-47ce77319f55,24,Anachester,Dry,{Email},"{Bluetooth Speaker,Customer Support Platform}"
0192aed0-298f-45ba-8f5f-0a19974abc32,19,West Maureenburgh,Oily,{Facebook},"{Loan Product,Savings Account,Smartphone}"
0194527f-b6e3-44ef-b4bb-0a2df9efa875,54,West Johnland,Combination,{Google Ads SEO},"{Project Management Tool,Wireless Earbuds}"
0195e72a-a21e-4e0b-a837-503235bba713,42,Cisnerostown,Normal,"{Email,Google Ads SEO}",{Wireless Earbuds}
01a2f25d-ab3c-49f8-886c-22b652a129e1,42,North Randy,Combination,"{Google Ads SEO,Facebook}",{Savings Account}
01a4230a-a5de-4dbf-a899-0981ba6a5666,18,East David,Normal,{Email},"{Tablet,Face Cleanser,CRM Software}"
01a4b6d5-278c-40bf-b0e6-c9bb913a42dd,21,West Brett,Combination,"{Email,Facebook}","{Credit Card,Investment Platform}"
01a9417c-90c7-4cdb-b3a7-f050963b1067,39,Lake Ashleychester,Oily,"{Facebook,Email,Google Ads SEO}","{Insurance Plan,Smartphone,Investment Platform}"
01a96bb4-475a-4365-9d7c-b1b3dd8ad2eb,59,North Ambertown,Oily,{Email},"{Smartwatch,Moisturizer}"
01a9d550-e8b0-4391-9770-fde327929532,50,West Robert,Sensitive,"{Email,Facebook}","{Insurance Plan,Investment Platform}"
01b395c6-a264-4273-8cd2-1fbc4bc43055,27,Stoneville,Normal,"{Google Ads SEO,Facebook}","{Insurance Plan,Smartwatch}"
01b7bf07-7d6e-40fc-8007-72ec36cb6bea,34,Port Barbarastad,Sensitive,{Google Ads SEO},"{Hair Serum,Analytics Dashboard,Savings Account}"
01bf9ac1-06d4-4ff8-b7f9-4a4c0b268c30,34,Powellshire,Oily,"{Facebook,Email,Google Ads SEO}","{Customer Support Platform,Loan Product,Moisturizer}"
01d5e279-42f2-4cd9-ad3c-276bf90ff07b,32,Collinshaven,Oily,{Email},"{Bluetooth Speaker,Face Cleanser}"
01d694a7-d142-4e61-9452-c9a92e309164,27,New Shelby,Dry,"{Google Ads SEO,Email,Facebook}","{Face Cleanser,Credit Card,Bluetooth Speaker}"
01e27296-1961-490e-a67c-9b879edf2fb8,50,Ramirezborough,Normal,{Facebook},"{Investment Platform,CRM Software,Face Cleanser}"
01e3107c-872a-4c70-b5ff-4f2e3ce77a8a,59,Joshuafurt,Oily,"{Google Ads SEO,Email}","{Tablet,Face Cleanser,Moisturizer}"
01e51478-5a7c-44ab-a8b9-f3e80b235a84,45,Lake Jillchester,Combination,{Google Ads SEO},"{Wireless Earbuds,Lip Balm}"
01e7c795-a32a-4315-9f81-439798466de6,18,Kellyhaven,Oily,"{Google Ads SEO,Email,Facebook}",{Analytics Dashboard}
01f68cf4-17c9-44b3-b90e-b4dc50538c4f,44,Dorothybury,Combination,{Google Ads SEO},"{Insurance Plan,Investment Platform}"
01fb2d50-95f7-4e48-94b2-7a08edd197ea,51,New Hollyland,Combination,"{Facebook,Google Ads SEO}","{Face Cleanser,Savings Account}"
020a7f09-6783-4bb0-a017-623434f47d15,38,West Geoffrey,Normal,"{Google Ads SEO,Facebook}","{Tablet,Lip Balm,Wireless Earbuds}"
020af081-7102-4c74-8c28-98cd1245d2d2,59,East Christian,Oily,"{Facebook,Google Ads SEO}","{Investment Platform,Marketing Automation}"
02120439-82cc-43e6-a5e7-6f7977926955,57,North Michelle,Sensitive,{Email},"{Savings Account,Hair Serum,Face Cleanser}"
